ITEM: TIMESTEP
15000
ITEM: NUMBER OF ATOMS
36864
ITEM: BOX BOUNDS xy xz yz pp pp pp
-1.4573366857295520e+00 6.1861463507472472e+01 5.5225504714569587e+00
1.2906956271741228e+00 8.7804850861747298e+01 4.7535763502863322e+00
-6.2691553259668564e-01 1.1362208153259830e+02 2.7163077488921520e+01
ITEM: ATOMS id mol type x y z ix iy iz 
182 6 1 57.5335 67.145 28.0155 -1 -1 0 
183 6 1 56.5215 66.6446 28.8303 -1 -1 0 
184 6 1 56.8133 66.4522 30.2257 -1 -1 0 
185 6 1 55.8689 65.8079 31.0136 -1 -1 0 
186 6 1 56.03 65.7561 32.4383 -1 -1 0 
187 6 1 57.1924 66.3579 33.0069 -1 -1 0 
188 6 1 58.1706 66.9348 32.1598 -1 -1 0 
189 6 1 57.9588 67.0054 30.7939 -1 -1 0 
190 6 1 5.75435 67.7193 30.0222 0 -1 0 
191 6 1 -0.268708 8.52196 25.8565 0 0 0 
192 6 2 56.4103 67.0473 26.1263 -1 -1 0 
193 6 2 55.6543 66.1544 28.4028 -1 -1 0 
194 6 2 55.0433 65.3402 30.4919 -1 -1 0 
195 6 2 55.2995 65.2533 33.0172 -1 -1 0 
196 6 2 57.3336 66.3398 34.1533 -1 -1 0 
197 6 2 6.00175 67.2863 32.622 0 -1 0 
198 6 2 1.05842 8.90862 30.4981 0 0 0 
199 6 1 1.03588 9.05938 27.8486 0 0 0 
200 6 1 0.908946 9.04258 26.4587 0 0 0 
201 6 1 1.96017 9.49422 25.6406 0 0 0 
202 6 1 1.80577 9.55865 24.2102 0 0 0 
203 6 1 2.81346 10.028 23.3858 0 0 0 
204 6 1 2.66927 10.0405 21.9797 0 0 0 
205 6 1 1.49712 9.50641 21.3842 0 0 0 
206 6 1 0.429318 9.11475 22.2309 0 0 0 
207 6 1 0.616097 9.12302 23.6305 0 0 0 
208 6 1 52.6824 8.54465 24.4493 -1 0 0 
209 6 1 0.10319 8.34376 28.6259 0 0 0 
210 6 2 1.95575 9.50772 28.3154 0 0 0 
211 6 2 2.80507 9.88683 26.1889 0 0 0 
212 6 2 3.75834 10.2894 23.8644 0 0 0 
213 6 2 3.54788 10.3087 21.4244 0 0 0 
214 6 2 1.45075 9.32074 20.3179 0 0 0 
215 6 2 52.5787 8.68347 21.8013 -1 0 0 
216 6 2 51.7624 8.20029 24.0301 -1 0 0 
217 7 1 5.35666 14.7236 42.4603 0 0 0 
218 7 1 4.32109 14.8249 43.45 0 0 0 
219 7 1 4.5066 14.2697 44.7253 0 0 0 
220 7 1 3.4509 14.3685 45.6403 0 0 0 
221 7 1 3.52762 13.7888 46.9831 0 0 0 
222 7 1 2.42409 13.7991 47.8844 0 0 0 
223 7 1 1.22949 14.4527 47.5048 0 0 0 
224 7 1 1.11567 15.0743 46.2338 0 0 0 
225 7 1 2.21517 15.0421 45.3332 0 0 0 
226 7 1 2.10191 15.693 44.109 0 0 0 
227 7 1 5.19953 15.2672 41.1962 0 0 0 
228 7 2 6.27033 14.2547 42.7731 0 0 0 
229 7 2 5.3335 13.6303 45.0022 0 0 0 
230 7 2 4.46144 13.3644 47.3276 0 0 0 
231 7 2 2.43153 13.4145 48.9321 0 0 0 
232 7 2 53.4109 14.4549 48.2354 -1 0 0 
233 7 2 53.2504 15.6521 45.9497 -1 0 0 
234 7 2 1.19585 16.1662 43.8668 0 0 0 
235 7 1 2.95284 16.0022 41.8326 0 0 0 
236 7 1 3.96604 15.8373 40.9278 0 0 0 
237 7 1 3.84335 16.4215 39.6495 0 0 0 
238 7 1 4.88868 16.3442 38.6834 0 0 0 
239 7 1 4.52134 16.7539 37.4141 0 0 0 
240 7 1 5.5502 16.7459 36.4172 0 0 0 
241 7 1 6.80658 16.1909 36.7639 0 0 0 
242 7 1 7.05807 15.6475 38.0561 0 0 0 
243 7 1 6.09473 15.7548 39.0303 0 0 0 
244 7 1 6.3109 15.2421 40.3602 0 0 0 
245 7 1 3.10929 15.5405 43.1742 0 0 0 
246 7 2 2.08686 16.5167 41.5415 0 0 0 
247 7 2 2.9485 17.0131 39.4058 0 0 0 
248 7 2 3.58226 17.1936 37.2324 0 0 0 
249 7 2 5.3316 17.2282 35.46 0 0 0 
250 7 2 7.63422 16.2076 36.148 0 0 0 
251 7 2 8.07378 15.3436 38.3063 0 0 0 
252 7 2 7.18487 14.7955 40.7682 0 0 0 
253 8 1 57.6228 70.7354 41.6613 -1 -1 0 
254 8 1 57.781 70.6288 43.0632 -1 -1 0 
255 8 1 56.7072 70.3298 43.869 -1 -1 0 
256 8 1 56.876 70.0852 45.2706 -1 -1 0 
257 8 1 55.7611 69.7953 46.0191 -1 -1 0 
258 8 1 55.9087 69.5192 47.4131 -1 -1 0 
259 8 1 57.1695 69.7367 48.0136 -1 -1 0 
260 8 1 58.2273 70.3228 47.3302 -1 -1 0 
261 8 1 58.0808 70.3371 45.8966 -1 -1 0 
262 8 1 6.05556 70.9252 45.1145 0 -1 0 
263 8 1 53.2207 11.7738 40.8954 -1 0 0 
264 8 2 56.6619 70.5789 41.1962 -1 -1 0 
265 8 2 55.7478 70.0175 43.3401 -1 -1 0 
266 8 2 54.7977 69.6079 45.4873 -1 -1 0 
267 8 2 55.0202 69.1822 48.0141 -1 -1 0 
268 8 2 57.3127 69.6649 49.0757 -1 -1 0 
