ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
2304
ITEM: BOX BOUNDS xy xz yz pp pp pp
0.0000000000000000e+00 2.9120725000000000e+01 2.8813730000000000e+00
0.0000000000000000e+00 3.7682479000000001e+01 1.1753520000000000e+00
0.0000000000000000e+00 2.8248791000000001e+01 6.7162439999999997e+00
ITEM: ATOMS id mol type x y z ix iy iz 
175 5 2 3.99498 20.1372 25.6166 0 0 -1 
176 5 2 4.76231 20.7625 23.3744 0 0 -1 
177 5 2 6.53311 20.7527 21.6321 0 0 -1 
178 5 2 8.68777 19.5805 22.0461 0 0 -1 
179 5 2 9.08711 18.4402 24.2099 0 0 -1 
180 5 2 8.31818 17.8024 26.4385 0 0 -1 
181 6 1 25.7407 14.0275 27.6986 -1 0 -1 
182 6 1 24.788 7.1999 0.832398 -1 0 0 
183 6 1 23.7955 6.65894 1.66591 -1 0 0 
184 6 1 24.0186 6.54335 3.04767 -1 0 0 
185 6 1 23.0258 5.99872 3.87918 -1 0 0 
186 6 1 23.2507 5.87805 5.25798 -1 0 0 
187 6 1 24.4699 6.3006 5.81117 -1 0 0 
188 6 1 25.467 6.844 4.98498 -1 0 0 
189 6 1 25.2442 6.9695 3.60186 -1 0 0 
190 6 1 1.17121 7.51514 2.76785 0 0 0 
191 6 1 26.7323 14.5692 26.8637 -1 0 -1 
192 6 2 24.799 13.6937 27.2743 -1 0 -1 
193 6 2 22.8538 6.32648 1.24073 -1 0 0 
194 6 2 22.0822 5.6665 3.45972 -1 0 0 
195 6 2 22.4813 5.45144 5.89239 -1 0 0 
196 6 2 24.6434 6.20417 6.8784 -1 0 0 
197 6 2 1.34527 7.16419 5.42048 0 0 0 
198 6 2 2.11329 7.84739 3.19271 0 0 0 
199 6 1 1.93934 8.17186 0.550229 0 0 0 
200 6 1 2.89201 14.9995 27.4164 0 0 -1 
201 6 1 3.88456 15.5404 26.5829 0 0 -1 
202 6 1 3.66146 15.656 25.2011 0 0 -1 
203 6 1 4.65419 16.2006 24.3696 0 0 -1 
204 6 1 4.42931 16.3213 22.9908 0 0 -1 
205 6 1 3.21017 15.8987 22.4376 0 0 -1 
206 6 1 2.21304 15.3554 23.2638 0 0 -1 
207 6 1 2.43587 15.2299 24.6469 0 0 -1 
208 6 1 26.5088 14.6842 25.4809 -1 0 -1 
209 6 1 0.947759 7.63017 1.38509 0 0 0 
210 6 2 2.88101 8.50563 0.974489 0 0 0 
211 6 2 4.8262 15.8729 27.0081 0 0 -1 
212 6 2 5.59784 16.5329 24.7891 0 0 -1 
213 6 2 5.19872 16.7479 22.3564 0 0 -1 
214 6 2 3.03663 15.9952 21.3704 0 0 -1 
215 6 2 26.3348 15.0352 22.8283 -1 0 -1 
216 6 2 25.5667 14.352 25.0561 -1 0 -1 
217 7 1 6.02032 14.3115 14.3556 0 0 0 
218 7 1 5.02914 14.319 15.3513 0 0 0 
219 7 1 5.25329 13.6715 16.5783 0 0 0 
220 7 1 4.2632 13.6834 17.5757 0 0 0 
221 7 1 4.48615 13.0421 18.807 0 0 0 
222 7 1 3.48861 13.0505 19.7951 0 0 0 
223 7 1 2.27105 13.7075 19.561 0 0 0 
224 7 1 2.047 14.3536 18.3367 0 0 0 
225 7 1 3.03782 14.3418 17.3404 0 0 0 
