ITEM: TIMESTEP
5000
ITEM: NUMBER OF ATOMS
36864
ITEM: BOX BOUNDS xy xz yz pp pp pp
-1.2920507710863542e+00 6.1729010299258675e+01 5.5494495383062645e+00
1.1461529366084957e+00 8.7983299794646427e+01 4.7595099898656983e+00
-6.9822104248359396e-01 1.1369338704248413e+02 2.7196983731255067e+01
ITEM: ATOMS id mol type x y z ix iy iz 
290 9 1 4.42346 17.7549 58.2928 0 0 0 
291 9 1 4.63369 17.0805 59.4716 0 0 0 
292 9 1 3.62507 17.0792 60.4701 0 0 0 
293 9 1 3.82804 16.3793 61.6898 0 0 0 
294 9 1 2.81927 16.2641 62.6908 0 0 0 
295 9 1 1.64329 16.9868 62.4826 0 0 0 
296 9 1 54.1285 17.6448 61.2515 -1 0 0 
297 9 1 2.41657 17.7331 60.2549 0 0 0 
298 9 1 2.24196 18.4866 59.0769 0 0 0 
299 9 1 5.22313 18.3817 56.0134 0 0 0 
300 9 2 6.34911 17.1808 57.5424 0 0 0 
301 9 2 5.61845 16.5871 59.6936 0 0 0 
302 9 2 4.75647 15.8382 61.9632 0 0 0 
303 9 2 8.40963 75.1369 63.4514 0 -1 0 
304 9 2 53.574 16.8096 63.1893 -1 0 0 
305 9 2 53.1567 18.0233 61.0637 -1 0 0 
306 9 2 54.0408 19.0201 58.9965 -1 0 0 
307 9 1 3.00774 19.0777 56.8185 0 0 0 
308 9 1 3.96843 18.9853 55.8006 0 0 0 
309 9 1 3.7077 19.4994 54.5371 0 0 0 
310 9 1 4.72113 19.415 53.4886 0 0 0 
311 9 1 4.46262 19.9457 52.2242 0 0 0 
312 9 1 5.45786 19.8745 51.2585 0 0 0 
313 9 1 6.69625 19.2897 51.5242 0 0 0 
314 9 1 6.90399 18.7147 52.7473 0 0 0 
315 9 1 5.93078 18.7308 53.7274 0 0 0 
316 9 1 6.19912 18.317 55.0098 0 0 0 
317 9 1 3.27023 18.4761 58.0526 0 0 0 
318 9 2 2.11804 19.7211 56.7285 0 0 0 
319 9 2 2.74719 19.9975 54.3623 0 0 0 
320 9 2 3.52473 20.5295 52.1067 0 0 0 
321 9 2 5.27602 20.3007 50.2529 0 0 0 
322 9 2 7.46223 19.1946 50.8067 0 0 0 
323 9 2 7.92308 18.2541 53.0022 0 0 0 
324 9 2 7.0734 17.6881 55.1229 0 0 0 
325 10 1 57.8575 73.7699 56.0371 -1 -1 0 
326 10 1 58.045 73.6433 57.4373 -1 -1 0 
327 10 1 56.9447 73.1164 58.2073 -1 -1 0 
328 10 1 57.1632 73.076 59.6446 -1 -1 0 
329 10 1 56.148 72.527 60.4849 -1 -1 0 
330 10 1 56.4555 72.2287 61.7886 -1 -1 0 
331 10 1 57.6336 72.6833 62.3583 -1 -1 0 
332 10 1 58.6081 73.3318 61.5714 -1 -1 0 
333 10 1 58.3959 73.4217 60.2005 -1 -1 0 
334 10 1 6.67649 73.9648 59.4004 0 -1 0 
335 10 1 53.4112 14.5946 55.2324 -1 0 0 
336 10 2 56.906 73.5274 55.6056 -1 -1 0 
337 10 2 55.9563 72.8219 57.823 -1 -1 0 
338 10 2 55.1651 72.3487 60.1107 -1 -1 0 
339 10 2 55.6965 71.8399 62.4851 -1 -1 0 
340 10 2 57.869 72.5066 63.3603 -1 -1 0 
341 10 2 6.88538 73.5595 61.9837 0 -1 0 
342 10 2 7.71258 74.211 59.7974 0 -1 0 
343 10 1 7.62648 74.4767 57.2461 0 -1 0 
344 10 1 1.91511 15.0121 55.8729 0 0 0 
345 10 1 2.95284 15.5096 55.153 0 0 0 
346 10 1 2.86102 15.6482 53.7636 0 0 0 
347 10 1 3.94211 16.1759 53.1196 0 0 0 
348 10 1 3.91749 16.3118 51.691 0 0 0 
349 10 1 2.79145 15.8545 51.0435 0 0 0 
350 10 1 1.61707 15.3227 51.7328 0 0 0 
351 10 1 1.68346 15.2175 53.1347 0 0 0 
352 10 1 53.3279 14.7547 53.849 -1 0 0 
353 10 1 59.2613 74.0131 58.0239 -1 -1 0 
354 10 2 8.53402 74.728 57.8091 0 -1 0 
355 10 2 3.83323 15.9324 55.7169 0 0 0 
356 10 2 4.80303 16.5516 53.7026 0 0 0 
357 10 2 4.71164 16.7502 51.1209 0 0 0 
358 10 2 2.85066 15.6353 49.9014 0 0 0 
359 10 2 53.4505 15.1 51.0917 -1 0 0 
360 10 2 52.4434 14.4934 53.3162 -1 0 0 
361 11 1 6.31592 21.3223 71.7478 0 0 0 
362 11 1 5.24778 21.2753 72.6541 0 0 0 
363 11 1 5.35038 20.6731 73.9284 0 0 0 
364 11 1 4.28509 20.6059 74.8201 0 0 0 
365 11 1 4.44972 19.9393 76.0729 0 0 0 
366 11 1 3.35223 19.877 76.9036 0 0 0 
367 11 1 2.10737 20.4926 76.5372 0 0 0 
368 11 1 54.6296 21.086 75.2713 -1 0 0 
369 11 1 3.04136 21.2369 74.4935 0 0 0 
370 11 1 2.94475 21.8177 73.216 0 0 0 
371 11 1 6.13887 21.8241 70.4092 0 0 0 
372 11 2 7.25601 20.8585 72.0267 0 0 0 
373 11 2 6.2282 20.1487 74.208 0 0 0 
374 11 2 5.36547 19.4276 76.3518 0 0 0 
375 11 2 9.05182 79.0413 77.8389 0 -1 0 
376 11 2 54.0162 20.4518 77.2574 -1 0 0 
377 11 2 53.6433 21.3582 74.9547 -1 0 0 
378 11 2 54.7075 22.3068 72.8861 -1 0 0 
379 11 1 3.91041 22.5401 71.0823 0 0 0 
380 11 1 4.91125 22.4844 70.106 0 0 0 
381 11 1 4.72182 23.0108 68.8392 0 0 0 
382 11 1 5.75313 22.9376 67.8861 0 0 0 
383 11 1 5.53849 23.4255 66.559 0 0 0 
384 11 1 6.54065 23.3463 65.5763 0 0 0 
385 11 1 7.74705 22.6709 65.8933 0 0 0 
386 11 1 7.97824 22.1949 67.1969 0 0 0 
387 11 1 6.99545 22.3708 68.2121 0 0 0 
388 11 1 7.23739 21.7977 69.4525 0 0 0 
389 11 1 4.04763 21.8961 72.2947 0 0 0 
390 11 2 3.08717 23.2493 70.9132 0 0 0 
391 11 2 3.78531 23.5324 68.5946 0 0 0 
392 11 2 4.65355 23.915 66.1819 0 0 0 
393 11 2 6.41832 23.7482 64.6329 0 0 0 
394 11 2 8.64486 22.5778 65.2316 0 0 0 
395 11 2 8.91073 21.688 67.493 0 0 0 
396 11 2 8.14836 21.2014 69.6162 0 0 0 
397 12 1 58.1654 77.3322 70.9634 -1 -1 0 
398 12 1 58.3363 77.2041 72.3215 -1 -1 0 
399 12 1 57.2758 76.7529 73.1617 -1 -1 0 
400 12 1 57.4646 76.7113 74.5708 -1 -1 0 
401 12 1 56.4871 76.1312 75.3779 -1 -1 0 
402 12 1 56.635 76.1315 76.7452 -1 -1 0 
403 12 1 57.7917 76.5409 77.3369 -1 -1 0 
404 12 1 58.9082 76.9264 76.5264 -1 -1 0 
405 12 1 58.6716 77.0917 75.1725 -1 -1 0 
406 12 1 59.7617 77.4693 74.3016 -1 -1 0 
407 12 1 53.6428 18.2456 70.1648 -1 0 0 
